Sector Number / Name,Column1,Part,Vertical Limits,Column2,Lateral Limits
LONDON ACC,,,,,
28,,1,FL295-FL195,,"530031 N,0014737W-531017N,0012043W-530828N,0010317W-
530016N,0010043W-522630N,0002732W-522632N,0003702W-
521126N,0002220W-520448N,0003814W-515859N,0005202W-
520603N,0005814W-530031 N,0014737W"
28,,2,"FL 295
-- --- -
FL 245",,"530828 N,0010313W-530642N,0004627W -522626N,0001 012W-
522630N,000 2732W -530016N,0010043W-530828 N,0010313W"
28,,3,"FL 295
--  ---  -
F L 21 5",,"522632N,0003702W -522630N,000273 2W -522626N,0001 012W-522615N,0001348E-
521906N,0000344W-52l 104N,0000528E-521104N,000021OW - 515 619 N,00  00 74 8W  -
51 543 3 N,0 001 425W  -51 4 80 2 N,0003828W-515859N,0005202W-
520448N,0003814W-521126N,0002220W-522632N,0003702W"
,,,FL295,,"521104N,0000210W-521104N,0000528E-520228N,0001524E-515619N,0000748W-"
28,,4,-- --- -,,"521104N,0000210W"
,,,FL245,,
34,,1,"FL660
-- --- -
FL295",,"530828N,0010313W-530642N,0004627W-522626N,0001012W-522615N,0001348E-
521906N,0000344W-521104N,0000528E-520228N,0001524E- 515619N,0000748W-
515433N,0001425W-520448N,0003814W-520939N,0004942W-
520603N,0005814W-523520N,0012429W-530031 N,0014737W-
531017N,0012043W-530828,N 0010313W"
34,,2,"F L 3 05
-   --   -
FL295",,"5206  03 N,0005814    W -52093  9 N,0004942W-520448N,0003814W-
515433N,0001425W-514802N,0003828W-515859N,0005202W-520603N,0005814W"
LONDON ACC,,,,,
,,,,,"531148N,0053000W-531112N,0050859W-525543N,0041447W-"
,,,,,"525423N,0031838W-525340N 0025354W-525333N0025014W-"
,,,,,"5251OON 0 0245 29 W -52505  9 N,0024529W-524149N,0023750W-"
,,,FL660,,"523251N,0023014W-521626N,0021213W-520946N,0020500W-"
35,,1,,,"520916N,0020428W-514751 N,0014136W-514126N,0020000W-"
,,,FL335,,"511526N,0020000W-512905N,0034543W-512921N,0041210W-"
,,,,,"514034N,0060027W-520049N,0060720W-522000N,0053000W-"
,,,,,"525705N,0053000W-530000N,0053000W-530350N,0053000W-"
,,,,,"531034N,0053000W-531148N,0053000W"
36,,1,"FL660
FL305",,"512921N,004121OW -5129   05N  ,0 03454   2 W -511  527N   ,0 02000   0W  -
505543    N,0  02000   0W  -50402    4N ,0 02000   0W  -50401   2N , 0 021  559W   -
503712N,0021731W-501745N,0022725W-495457N,0023012W-
493718N.0040941W-511719N.0034740W-512921N.0041210W"
SCOTTISH AC (PRESTWICK),,,,,
,,,,,"561400N,0040900W-560700N,004()1)lOW-560222N,00405lSW-"
,,,,,"560700N,0032938W-560700,N0025608W-555335N,0024931W-"
GALLOWAY,,1,"FL255
DB",,"554859N,0040117W-545240N,004()1)11 W-545116N,0031959W-
541500N,0023326W-541501N,0033310W-54301lN ,0033535W-
543242N,0033001W-550603N,0041419W-551001N,0044459W-
550328N,0045044W-550750N,0050623W-55151lN ,0050000W-"
,,,,,"555000N,0050000W-560000N,0044400W-560432N,0043253W-561400N,0040900W"
,,,,,"Nort h/South s  lit alon   line 550603N,0041424W-550102N,0032914W"
TALLA,,1,"FL255
DB",,"552109N,0022139W-515228N,0023022W-541500N,0021001W-
541500N,0023326W-545116N,0031959W-554240N,004()1)11 W-
554859N,0024931W-555335N,0024931W
North/South s plit along line 551104N,0033841W-550540N,0031205W"
,,,,,"550909N,0030000W-551229N,0023024W"
SCOTTISH AC (PRESTWICK),,,,,
,,,,,"545030N,0062442W-545418N,0053000W-545715N,0051530W -"
,,,,,"55151l N,0050000W-555OOON,0050000W-560000N,0044400W-"
,,,,,"561400N,0040926W-572131N,0035213W-57233N7,0041 404W-"
,,,FL255,,"573147N,0041203W-574511N,0042339W-592000N,0100000W-"
WESTCOAST,,1,,,"543400N,0100000W-543859N,0093320W-544500N,0090000W-"
,,,DB,,"552000N,0081500W-552500N,0072000W-552000N,00655OOW-"
,,,,,"5 42500  N,008lOOOW-54543N,0062435W-"
,,,,,"542754N,0062306W-THENCE AN ARC Rl3NM THROUGH MIDPOINT-"
,,,,,543927N.0061256W-545030N.0062442W
,,,,,GI NGA
,,,,,"572131N,0035213W-571145N,0021815W-570952,N0015347W-"
,,,,,"561444N,0013308W-5505l 6N,OO10020W-550000N,0005252W-"
TAY,,1,FL255,,"550000N,0013016W-550000N,OO15500W-545424N,00224lOW-
551228N,0023022W-552109N,0022139W-52606N,0023655W-"
,,,DB,,"553805N,0025111W-560008N,0024849W-560700N,0025608W-"
,,,,,"560700N,0032938W-560222N,0040518W-560700N,0040910W-"
,,,,,561400N.0040926W-561745N.0040830W-572131N.0035213W
SCOTTISH AC (PRESTWICK),,,,,
MONTROSE,,1,FL660 FL255,,"571504N,0053633W-57l 440N,004 2816W-572337N,0041404W-
571126N,0021409W-570952N,001534 7W-56l 444N,0013308W-
552700N,0011023W-55051N6,0010020W-5  40139N,0002720E-540147N,0 013515W-
541155N,0014543W-541500N,001 4856W-543324N,0015629W-
544252N,0 020024W-551113N,0021301W-55  2700N,0022627W-
555335N,0 024931W-561837N,00334 06W-561600N,0050520W-571504N,0 053633W
North/South solit alon2 line 552700N,0022627W-552700N,0011023W"
TYNE,,1,"FL660
DB",,"570952N,0 015347W-56360N4,0033632E-  562502 N,0050000E-553000N,0050000E-
552536N,0 034259E-552306N,0002228E- 550516N,0010020W-
561444N,0013308W-570952N.0015347W"
HUMBER,,1,"FL660
DB",,"550516N,0010020W-552306N,00 02228E- 552536N,0034259E-553000N,0050000E-
550000N,OOSOOOOE-  5 43 000N,0043209E- 531029N,0032158E- 53144l N,003l102E-
531813N,0 024400E-532302N,0024006E- 532930N,0012525E- 540139N,0002720E-
550516N.0010020W"
SCOTTISH AC (PRESTWICK),,,,,
DEANCROSS NORTH,,1,"FL660
FL255",,"561600N,0050520W-561837N,0033406W-555335N,0024931W-
552700N,0 022627W-551113N,0021301W -550000N,0020729W-
550000N,0 032811W-553121N,0035809W -554700N,0053041W-561600N,0050520W"
,,,,,"554700N,0 053041W-553121N,0035809W -550000N,0032811W-"
DE   ANCROSS SOUTH,,1,"FL660
FL255",,"550000N,0 020729W-541500N,001 4856W-540147N,0013515W-
540043N,0 022744W-541500N,0023948W -54150I N,0033310W-
542027N,0 033404W-550540N,00458 34W-553419N,0054133W-554700N,0053041W"
,,,,,"A= 543000N,0033538\ V  B=  543 000N,0025233W"
,,,,,"563506N,0 l OOOOOW-555607N,0052248W-553419N,0054133W-"
RATHLIN WEST,,1,"FL660
FL255",,"550948N,0 050441W-545535N,0051706W-543826N,0054307W-
540319N,0 061212W-542500N,00810 00W-54385SN,0093320W-
544309N,0100 000W-563506N,010 0000W"
,,,,,A-  572000N 0100000W - 8 -  560931N 0051104W
SCOTTISH AC (PRESTWICK),,,,,
,,,,,"550948N,0050441W-550540N,0 045834W-542027N,00334 04W-"
RATHLIN EAST,,1,"FL660
FL255",,"534125N,0032734W-534150N,0 033649W-535439N,0040737W-
535423N,004215SW-534617N,0 043112W-534817N,0053000W-
535500N,0053000W-540319N,0 061212W-543826N,0054307W-"
,,,,,"545535N,0051706W-550948N,0 050441W"
,,,,,"592000N,0l OOOOOW-585314N,0 081558W-580137N,0062919W-"
CENTRAL,,1,"FL660
FL255",,"571504N,0053633W-561600N,0 050520W-555607N,0052248W-
563506N,0100000W-592000N,010 0000W
A -  584000N,0100000W- 8  - 570205N,0052932W"
,,,,,C-  560931N.0051104W- D - 572000N.0100000W
SCOTTISH AC (PRESTWICK),,,,,
HEBRIDES LOW,,1,"FL255
DB",,"610000N,0100000W-610000N,0070000W-610000N,0053000W-
591638N,0043000W-580l 49N,0041700W-574546N,0043204W-
57451l N,0042339W-592000N,O100000W-603000N,01OOOOOW-610  000N,0100000W"
"Sector
Number/ Name",,Part,"Vertical
Limits",,Lateral Limits
SCOTTISH AC (PRESTWICK),,,,,
HEBRIDES HIGH,,1,FL660 FL255,,"610000N,0lOOOOOW-61OOOON,0070000W-610000N,0053000W-
591638N,0043000W-573l 47N,0041203W-57233N7,0041 404W-
571440N,0042816W-571504N,0053633W-58013N7,0062919W-
585314N,0081558W-592000N,O100000W-603000N,01OOOOOW-610  000N,0100000W
A -  584000N,0100000W- B-  570205N,0052932W"
