,name,boundary
0,LONDON ACC 28 1,N53.00.31.00 W001.47.37.00/N53.10.17.00 W001.20.43.00/N53.08.28.00 W001.03.17.00/N53.00.16.00 W001.00.43.00/N52.26.30.00 W000.27.32.00/N52.26.32.00 W000.37.02.00/N52.11.26.00 W000.22.20.00/N52.04.48.00 W000.38.14.00/N51.58.59.00 W000.52.02.00/N52.06.03.00 W000.58.14.00/N53.00.31.00 W001.47.37.00
1,LONDON ACC 28 2,N53.08.28.00 W001.03.13.00/N53.06.42.00 W000.46.27.00/N52.26.26.00 W000.10.12.00/N52.26.30.00 W000.27.32.00/N53.00.16.00 W001.00.43.00/N53.08.28.00 W001.03.13.00
2,LONDON ACC 28 3,N52.26.32.00 W000.37.02.00/N52.26.30.00 W000.27.32.00/N52.26.26.00 W000.10.12.00/N52.26.15.00 E000.13.48.00/N52.19.06.00 W000.03.44.00/N52.11.04.00 E000.05.28.00/N52.11.04.00 W000.02.10.00/N51.56.19.00 W000.07.48.00/N51.54.33.00 W000.14.25.00/N51.48.02.00 W000.38.28.00/N51.58.59.00 W000.52.02.00/N52.04.48.00 W000.38.14.00/N52.11.26.00 W000.22.20.00/N52.26.32.00 W000.37.02.00/N52.11.04.00 W000.02.10.00/N52.11.04.00 E000.05.28.00/N52.02.28.00 E000.15.24.00/N51.56.19.00 W000.07.48.00
3,LONDON ACC 28 4,N52.11.04.00 W000.02.10.00
4,LONDON ACC 34 1,N53.08.28.00 W001.03.13.00/N53.06.42.00 W000.46.27.00/N52.26.26.00 W000.10.12.00/N52.26.15.00 E000.13.48.00/N52.19.06.00 W000.03.44.00/N52.11.04.00 E000.05.28.00/N52.02.28.00 E000.15.24.00/N51.56.19.00 W000.07.48.00/N51.54.33.00 W000.14.25.00/N52.04.48.00 W000.38.14.00/N52.09.39.00 W000.49.42.00/N52.06.03.00 W000.58.14.00/N52.35.20.00 W001.24.29.00/N53.00.31.00 W001.47.37.00/N53.10.17.00 W001.20.43.00
5,LONDON ACC,N52.06.03.00 W000.58.14.00/N52.09.39.00 W000.49.42.00/N52.04.48.00 W000.38.14.00/N51.54.33.00 W000.14.25.00/N51.48.02.00 W000.38.28.00/N51.58.59.00 W000.52.02.00/N52.06.03.00 W000.58.14.00
6,LONDON ACC 34 2,N53.11.48.00 W005.30.00.00/N53.11.12.00 W005.08.59.00/N52.55.43.00 W004.14.47.00/N52.54.23.00 W003.18.38.00/N52.53.40.00 W002.53.54.00/N52.53.33.00 W002.50.14.00/N52.51.00.00 W002.45.29.00/N52.50.59.00 W002.45.29.00/N52.41.49.00 W002.37.50.00/N52.32.51.00 W002.30.14.00/N52.16.26.00 W002.12.13.00/N52.09.46.00 W002.05.00.00
7,LONDON ACC 35 1,N52.09.16.00 W002.04.28.00/N51.47.51.00 W001.41.36.00/N51.41.26.00 W002.00.00.00/N51.15.26.00 W002.00.00.00/N51.29.05.00 W003.45.43.00/N51.29.21.00 W004.12.10.00/N51.40.34.00 W006.00.27.00/N52.00.49.00 W006.07.20.00/N52.20.00.00 W005.30.00.00/N52.57.05.00 W005.30.00.00/N53.00.00.00 W005.30.00.00/N53.03.50.00 W005.30.00.00/N53.10.34.00 W005.30.00.00/N53.11.48.00 W005.30.00.00
8,LONDON ACC,N51.29.21.00 W004.12.10.00/N51.29.05.00 W003.45.42.00/N51.15.27.00 W002.00.00.00/N50.55.43.00 W002.00.00.00/N50.40.24.00 W002.00.00.00/N50.40.12.00 W002.15.59.00/N50.37.12.00 W002.17.31.00/N50.17.45.00 W002.27.25.00/N49.54.57.00 W002.30.12.00/N49.37.18.00 W004.09.41.00/N51.17.19.00 W003.47.40.00/N51.29.21.00 W004.12.10.00
9,LONDON ACC 36 1,N56.14.00.00 W004.09.00.00/N56.07.00.00 W003.29.38.00/N55.53.35.00 W002.49.31.00
