,icao_designator,verified,location,elevation,name,magnetic_variation
0,EGPD,1,N57.12.09.00 W002.11.53.00,210,ABERDEEN/DYCE,-0.91
1,EGJA,1,N49.42.24.00 W002.12.52.00,220,ALDERNEY,-0.01
2,EGSL,1,N51.53.42.00 E000.26.57.00,249,ANDREWSFIELD,+0.69
3,EGPR,1,N57.01.25.00 W007.26.30.00,291,BARRA,-3.11
4,EGNL,1,N54.07.43.00 W003.16.03.00,234,BARROW/WALNEY ISLAND,-0.90
5,EGBF,1,N52.13.57.00 W000.26.44.00,255,BEDFORD,+0.35
6,EGAA,1,N54.39.27.00 W006.12.57.00,276,BELFAST ALDERGROVE,-2.15
7,EGAC,1,N54.37.05.00 W005.52.21.00,281,BELFAST/CITY,-2.00
8,EGPL,1,N57.28.50.00 W007.21.50.00,278,BENBECULA,-3.17
9,EGKB,1,N51.19.51.00 E000.01.57.00,236,BIGGIN HILL,+0.59
10,EGBB,1,N52.27.14.00 W001.44.53.00,317,BIRMINGHAM,-0.13
11,EGLK,1,N51.19.26.00 W000.50.51.00,316,BLACKBUSHE,+0.30
12,EGNH,1,N53.46.18.00 W003.01.43.00,266,BLACKPOOL,-0.76
13,EGHH,1,N50.46.48.00 W001.50.33.00,250,BOURNEMOUTH,+0.01
14,EGGD,1,N51.22.58.00 W002.43.09.00,247,BRISTOL,-0.36
15,EGCK,1,N53.06.07.00 W004.20.15.00,214,CAERNARFON,-1.17
16,EGSC,1,N52.12.18.00 E000.10.30.00,306,CAMBRIDGE,+0.57
17,EGEC,1,N55.26.15.00 W005.41.17.00,218,CAMPBELTOWN,-2.07
18,EGFF,1,N51.23.48.00 W003.20.36.00,191,CARDIFF,-0.58
19,EGNC,1,N54.56.15.00 W002.48.32.00,233,CARLISLE,-0.84
20,EGLJ,1,N51.40.28.00 W001.05.07.00,270,CHALGROVE,+0.18
21,EGHR,1,N50.51.34.00 W000.45.33.00,200,CHICHESTER/GOODWOOD,+0.37
22,EGHA,1,N50.58.02.00 W002.09.13.00,242,COMPTON ABBAS,-0.12
23,EGBE,1,N52.22.11.00 W001.28.47.00,301,COVENTRY,-0.03
24,EGTC,1,N52.04.20.00 W000.37.00.00,315,CRANFIELD,+0.31
25,EGPG,1,N55.58.29.00 W003.58.32.00,300,CUMBERNAULD,-1.46
26,EGLD,1,N51.35.18.00 W000.30.47.00,213,DENHAM,+0.39
27,EGBD,1,N52.51.35.00 W001.37.03.00,251,DERBY,-0.13
28,EGCN,1,N53.28.31.00 W001.00.15.00,227,DONCASTER SHEFFIELD,+0.02
29,EGPN,1,N56.27.09.00 W003.01.33.00,293,DUNDEE,-1.14
30,EGTU,1,N50.51.36.00 W003.14.05.00,294,DUNKESWELL,-0.48
31,EGSU,1,N52.05.26.00 E000.07.53.00,196,DUXFORD,+0.56
32,EGSR,1,N51.54.52.00 E000.40.57.00,305,EARLS COLNE,+0.76
33,EGNX,1,N52.49.52.00 W001.19.40.00,290,EAST MIDLANDS,-0.02
34,EGPH,1,N55.57.00.00 W003.22.21.00,267,EDINBURGH,-1.21
35,EGTR,1,N51.39.21.00 W000.19.33.00,280,ELSTREE,+0.44
36,EGAB,1,N54.23.55.00 W007.39.07.00,195,ENNISKILLEN/ST ANGELO,-2.69
37,EGTE,1,N50.44.03.00 W003.24.50.00,192,EXETER,-0.53
38,EGEF,1,N59.32.05.00 W001.37.43.00,258,FAIR ISLE,-0.98
39,EGTF,1,N51.20.53.00 W000.33.31.00,243,FAIROAKS,+0.39
40,EGLF,1,N51.16.31.00 W000.46.39.00,215,FARNBOROUGH,+0.33
41,EGCL,1,N52.44.22.00 W000.01.48.00,221,FENLAND,+0.45
42,EGBJ,1,N51.53.39.00 W002.10.02.00,299,GLOUCESTERSHIRE,-0.22
43,EGJB,1,N49.26.06.00 W002.36.10.00,238,GUERNSEY,-0.11
44,EGNR,1,N53.10.41.00 W002.58.40.00,216,HAWARDEN,-0.67
45,EGNJ,1,N53.34.24.00 W000.21.05.00,275,HUMBERSIDE,+0.25
46,EGPE,1,N57.32.33.00 W004.02.51.00,286,INVERNESS,-1.74
47,EGPI,1,N55.41.00.00 W006.15.35.00,272,ISLAY,-2.35
48,EGNS,1,N54.05.00.00 W004.37.24.00,199,ISLE OF MAN,-1.42
49,EGJJ,1,N49.12.29.00 W002.11.44.00,205,JERSEY,+0.04
50,EGBP,1,N51.40.05.00 W002.03.25.00,194,KEMBLE,-0.16
51,EGPA,1,N58.57.29.00 W002.54.02.00,298,KIRKWALL,-1.46
52,EGHC,1,N50.06.10.00 W005.40.14.00,313,LAND'S END,-1.25
53,EGKH,1,N51.09.23.00 E000.38.40.00,263,LASHENDEN/HEADCORN,+0.81
54,EGNM,1,N53.51.58.00 W001.39.39.00,203,LEEDS BRADFORD,-0.26
55,EGBG,1,N52.36.28.00 W001.01.55.00,226,LEICESTER,+0.11
56,EGET,1,N60.11.31.00 W001.14.37.00,257,LERWICK/TINGWALL,-0.89
57,EGGP,1,N53.20.01.00 W002.50.59.00,237,LIVERPOOL,-0.64
58,EGLC,1,N51.30.19.00 E000.03.19.00,231,LONDON CITY,+0.59
59,EGKK,1,N51.08.53.00 W000.11.25.00,283,LONDON GATWICK,+0.53
60,EGLL,1,N51.28.39.00 W000.27.41.00,318,LONDON HEATHROW,+0.41
61,EGGW,1,N51.52.29.00 W000.22.06.00,284,LONDON LUTON,+0.41
62,EGSS,1,N51.53.06.00 E000.14.06.00,271,LONDON STANSTED,+0.61
63,EGAE,1,N55.02.34.00 W007.09.43.00,274,LONDONDERRY/EGLINTON,-2.60
64,EGMD,1,N50.57.22.00 E000.56.20.00,201,LYDD,+0.92
65,EGCC,1,N53.21.14.00 W002.16.30.00,277,MANCHESTER,-0.43
66,EGCB,1,N53.28.18.00 W002.23.23.00,217,MANCHESTER BARTON,-0.49
67,EGNF,1,N53.19.01.00 W001.11.46.00,204,NETHERTHORPE,-0.03
68,EGNT,1,N55.02.17.00 W001.41.23.00,202,NEWCASTLE,-0.42
69,EGHQ,1,N50.26.27.00 W004.59.43.00,288,NEWQUAY,-1.05
70,EGAD,1,N54.34.52.00 W005.41.31.00,206,NEWTOWNARDS,-1.93
71,EGBK,1,N52.18.22.00 W000.47.32.00,198,NORTHAMPTON/SYWELL,+0.22
72,EGSH,1,N52.40.33.00 E001.16.58.00,319,NORWICH,+0.91
73,EGBN,1,N52.55.12.00 W001.04.45.00,229,NOTTINGHAM,+0.06
74,EGEO,1,N56.27.49.00 W005.24.00.00,269,OBAN,-2.13
75,EGTK,1,N51.50.13.00 W001.19.12.00,296,OXFORD,+0.08
76,EGPT,1,N56.26.28.00 W003.22.26.00,307,PERTH/SCONE,-1.28
77,EGSF,1,N52.28.05.00 W000.15.03.00,223,PETERBOROUGH/CONINGTON,+0.39
78,EGPK,1,N55.30.34.00 W004.35.40.00,273,PRESTWICK,-1.64
79,EGKR,1,N51.12.49.00 W000.08.19.00,311,REDHILL,+0.55
