,icao_designator,callsign_type,frequency
0,EGPD,APPROACH,119.055
1,EGPD,APPROACH,121.250
2,EGPD,GROUND,121.705
3,EGPD,GROUND,118.105
4,EGPD,TOWER,118.105
5,EGPD,DIRECTOR,128.305
6,EGPD,DIRECTOR,118.105
7,EGPD,RADAR,119.055
8,EGPD,INFORMATION,114.300
9,EGPD,INFORMATION,121.855
10,EGPD,FIRE,121.600
11,EGJA,APPROACH,128.655
12,EGJA,GROUND,130.505
13,EGJA,TOWER,125.355
14,EGJA,FIRE,121.600
15,EGJA,FIRE,120.450
16,EGJA,FIRE,125.205
17,EGJA,FIRE,125.205
18,EGSL,RADIO,130.555
19,EGPR,INFORMATION,118.080
20,EGNL,INFORMATION,123.205
21,EGBF,RADIO,119.030
22,EGAA,APPROACH,133.125
23,EGAA,GROUND,121.755
24,EGAA,TOWER,118.300
25,EGAA,DIRECTOR,120.905
26,EGAA,INFORMATION,126.130
27,EGAA,FIRE,121.600
28,EGAA,EMERGENCY,121.500
29,EGAC,APPROACH,130.850
30,EGAC,TOWER,122.830
31,EGAC,RADAR,134.800
32,EGAC,INFORMATION,124.580
33,EGAC,FIRE,121.600
34,EGAC,EMERGENCY,121.500
35,EGPL,APPROACH,119.205
36,EGPL,TOWER,119.205
37,EGPL,INFORMATION,119.205
38,EGPL,INFORMATION,113.950
39,EGPL,FIRE,121.600
40,EGKB,APPROACH,129.405
41,EGKB,TOWER,134.805
42,EGKB,INFORMATION,135.680
43,EGKB,FIRE,121.600
44,EGBB,DIRECTOR,131.005
45,EGBB,APPROACH,123.980
46,EGBB,RADAR,123.980
47,EGBB,RADAR,131.330
48,EGBB,DELIVERY,121.930
49,EGBB,DELIVERY,118.305
50,EGBB,GROUND,121.805
51,EGBB,TOWER,118.305
52,EGBB,INFORMATION,136.030
53,EGBB,FIRE,121.600
54,EGLK,INFORMATION,122.305
55,EGLK,RADIO,122.305
56,EGNH,TOWER,119.955
57,EGNH,TOWER,118.405
58,EGNH,INFORMATION,127.205
59,EGNH,FIRE,121.600
60,EGHH,APPROACH,119.480
61,EGHH,GROUND,121.705
62,EGHH,TOWER,125.605
63,EGHH,DIRECTOR,118.655
64,EGHH,RADAR,119.480
65,EGHH,INFORMATION,133.730
66,EGHH,FIRE,121.600
67,EGHH,RADIO,125.605
68,EGGD,RADAR,125.650
69,EGGD,DELIVERY,121.930
70,EGGD,TOWER,133.850
71,EGGD,DIRECTOR,136.080
72,EGGD,INFORMATION,126.030
73,EGGD,FIRE,121.600
74,EGCK,RADIO,122.255
75,EGCK,RADIO,122.255
76,EGCK,RADIO,122.255
77,EGSC,APPROACH,120.965
78,EGSC,TOWER,125.905
79,EGSC,DIRECTOR,124.980
80,EGSC,RADAR,124.980
81,EGSC,INFORMATION,134.605
82,EGSC,FIRE,121.600
83,EGSC,EMERGENCY,121.500
84,EGEC,INFORMATION,125.905
85,EGFF,APPROACH,119.155
86,EGFF,APPROACH,125.855
87,EGFF,TOWER,133.105
88,EGFF,RADAR,125.855
89,EGFF,INFORMATION,132.480
90,EGNC,FIRE,121.600
91,EGNC,RADIO,123.605
92,EGLJ,RADIO,125.410
93,EGHR,INFORMATION,122.455
94,EGHA,RADIO,122.710
95,EGBE,INFORMATION,123.830
96,EGBE,FIRE,121.600
97,EGTC,APPROACH,122.855
