,area,number,direction
0,BENSON ATZ,0,circle
1,COLERNE ATZ,0,circle
2,CONINGSBY ATZ,0,circle
3,COSFORD ATZ,0,circle
4,CRANWELL ATZ,0,circle
5,CULDROSE ATZ,0,circle
6,FAIRFORD ATZ,0,circle
7,HALTON ATZ,0,circle
8,HONINGTON ATZ,0,circle
9,KINLOSS ATZ,0,circle
10,LAKENHEATH ATZ,0,circle
11,LEEMING ATZ,0,circle
12,LEUCHARS ATZ,0,circle
13,LOSSIEMOUTH ATZ,0,circle
14,LYNEHAM ATZ,0,circle
15,MARHAM ATZ,0,circle
16,MERRYFIELD ATZ,0,circle
17,MILDENHALL ATZ,0,circle
18,MONA ATZ,0,circle
19,NETHERAVON ATZ,0,circle
20,ODIHAM ATZ,0,circle
21,PREDANNACK ATZ,0,circle
22,SCAMPTON ATZ,0,circle
23,SHAWBURY ATZ,0,circle
24,SYERSTON ATZ,0,circle
25,TERNHILL ATZ,0,circle
26,TOPCLIFFE ATZ,0,circle
27,VALLEY ATZ,0,circle
28,WADDINGTON ATZ,0,circle
29,WATTISHAM ATZ,0,circle
30,WITTERING ATZ,0,circle
31,WOODVALE ATZ,0,circle
32,YEOVILTON ATZ,0,circle
