,name,route
0,L6,DVR/DET
1,L7,LONAM/VENAS/GOLVO/PELET/ASKAM/TIMUP
2,L8,BUGUP/NANUM/HON/STAFA/NANTI/UMKIL/VABKA/ASNIP/TADAL
3,L9,KONAN/DVR/UMTUM/EMKAD/DIKVU/BIG/GOXUL/NORRY/CPT/STU/SLANY
4,L10,RINTI/DVR/ITVIP/LAM/BPK/BUZAD/WOBUN/DTY/HON/WAL/PENIL/CASEL/KELLY/IOM/SLYDA/RINGA/DUFFY/BELZU
5,L15,MOTOX/SANDY/BIG/BETPO/FINMA/PIXUP/HON/KEPAD/RISLA/AMPIT/EPOXI/MALUD/GIGTO/SOSIM/MAKUX/VAKPO/PEPOD/DUFFY
6,L17,MOLIX/RAMID/BODSO
7,L18,VABIK/DVR/WIZAD/MAY/MID/VAPID/NIGIT/INLAK/GAVGO/UGNUS/DIKAS/MEDOG/LANON/BADSI/ABLIN/IRKUM/LIPGO
8,L22,ADKIK/HICAP/MERLY/MOPAT
9,L28,TNT/RODOL/MCT/ASNIP/AGLIL/PENIL/DANDI/LELDO/SOSIM
10,L46,NALAX/LIBSO/ODNEK/MITSO/RIMTO/HALIF/GETNO
11,L60,KOLAG/SOPEK/OTBED/ENCOD/NISBI/DOPEK/ARTIX/MOGMO/MAMUL/ADELU/BOLBI/SONEX/PENIL
12,L70,DESIG/KOLID/TADAL/GUNTU/PENIL/BABRA/GIGTO/UNDUX/SOPAX/RAMOX/OGTUG/BAGSO
13,L74,TOPPA/LARDI/SOTUN/VENAS
14,L89,KATHY/HAZEL/WOD
15,L90,DOLAS/SUPEL/LIBSO/OTR
16,L149,BIGNO/NOTRO/DAWLY/DEVOM/HOTBE/DIDEL/MERLY/GISOK/ILZAP/NEKAP/BAKUR
17,L151,SITET/DRAKE/MID/LINDY/KIDLI/NEDEX/NANUM/TUBSU/DISIT/PEPUL/UMLUX/VIDOK/TELBA/KEPAD/WAL
18,L179,INLAK/CPT/UGBET/LAM/FERIT/SIRGO/TERKO/TUGPO/TOBIX/ERING/PIBUX/GILTI
19,L180,LESLU/MERLY/DUFZO/ASRAX/SWANY/ABDUK/DIKAS/DOBEM/FIGZI
20,L186,TRN/NORBO
21,L602,MIMVA/EMLON/LEGRO/NALAX/OTR/ERKIT/TLA/GOW/CLYDE/FYNER/BRUCE/TIR
22,L603,LAMSO/BUKUT/DIBAL/ENITO/DOLAS/AMVEL/ROGAG/EVKAL/LAMIX/EDUXO/MAMUL/ELNOD/DESIG/TENSO/BELOX/IOM/PEPOD/LISBO
23,L607,KONAN/INLAK/PUPJO/NUMPO/ABDUK/LAZTU/NEKAP/EVRIN
24,L608,SUMUM/LOGAN/CLN/ADMIS/POTON/OLNEY/DTY/UNGAP
25,L610,RAPIX/SUNUP/TEBRA/KOPUL/UNSAD/NILON/GILDA/LAM/HEMEL
26,L612,XAMAB/HAWKE/BENBO/BOGNA/MID/WOD/COWLY/EMKUK/IXURA/HON/LISTO/LOVEL/BARTN/CROFT/CALDA/OBUNI/VAMEB/LAKEY/DCS/BEBNI/NAVSO/ELBUS/LUSIV/FENIK/GOW
27,L613,SOVAT/SANDY/STOAT/MOGLI/BETAX/MAMUL/HALIF/ABKAT/TLA
28,L620,GAPLI/LND/KOFAL/DAWLY/BRIPO/GIBSO/BEVUP/ABKIM/SAM/HAZEL/NIBDA/NOVMA/MID/GILDA/SIRGO/MANGO/CLN/REDFA
29,L722,ANNET/BHD
30,L739,LIZAD/MABUG/GAPLI
31,L975,GOLES/ARPUB/UPTON/UNIGO/DESIG/DENBY/SONEX/BARTN/ASMIM/WAL/MALUD/ROLEX/LYNAS/NATKO/GINIS/IDEXA/LIFFY
32,L980,VEXEN/DOMUT/KATHY/ABSAV/AVANT/MID/LAM/EVNAS/WESUL/BRASO/MANGO/LIVSU/SABER/TRIPO/JACKO/LOGAN/XAMAN
33,L982,ORIST/ERGUM/ROXOG/VASUX/DISVO/TELTU
34,L989,BODSO/SOPEK
35,M8,SUBIP/ELDAX/WAFFU
36,M14,GILDA/FERIT/WESUL/STOAT
37,M16,DOLAS/NAPEX/XAPOS/MCT/WAL
38,M17,ADKIK/EXMOR/KESUP/SWANY/STU/PEMOB/LEMGU/VATRY
39,M25,ANNET/NAKID/IDOKI/GAPLI
40,M40,UMBUR/IPKUS/NILON/TERKO/SABER/IDESI/RINIS
41,M79,EMLON/ROVNI/TENDO/NATEB
42,M84,KONAN/ABTUM/NONVA/EVMEK/CLN/TOVGU/ODUKU
43,M85,ITVIP/DAGGA
44,M87,UMTUM/EKNIV
45,M90,LONAM/SOTUN/ROLUM/GIVEM
46,M91,IRKUN/LYD/EMKAD/EKNIV
47,M140,DVR/PENUX/ROKKE/SAM/OXLOW/EXMOR/COWJO/MERLY/NORLA
48,M142,DOLUR/LND/INSUN/LESLU
49,M144,PENIL/BABRA/GIGTO/UNDUX/SOPAX/RAMOX/OGTUG/BAGSO
50,M145,BAGSO/RIMVU/SITKU/LANVA/LELDO
51,M146,WAL/AGLIL/DIGMA/ERDUV/LUSOD/PEPEG/ROBOP/IPSET
52,M147,UVPOK/NOPKI/MATUT/ROBOP/MAGEE
53,M148,NINEB/MASOP/IDGAS/IBTES/LIMKA/MAGEE
54,M183,CPT/SILVA/NUGBO/BKY/ADMIS/TEDSA/SONDO/SONOG/REDFA
55,M184,KOTEM/PILIP/NELKO/AVANT/HEMEL
56,M185,LUGIS/ADLOG/DESNA/TELTU/MID/MODMI/OCK/KOBBI/BPK
57,M189,NEVIL/OSPOL/HAWKE/WAFFU/HASTY/LYD/SANDY/DVR/JACKO/CLN/GASBA
58,M195,LORKU/MARUK/IBNID/SAM
59,M197,GAPLI/SUNFI/TOFED/GAJIT/CPT/IPRIL/KOBBI/BRAIN/GASBA/RATLO/REDFA
60,M604,LYD/DET/FRANE/SPEAR/TOVGU/DAGGA/GASBA/PAAVO/TEDSA/LAPRA/LEDBO/ENITO/BEKMO/GIVPO/ROKAN/VENAS/LARGA
61,M605,XIDIL/HARDY/WAFFU/SFD/WOD/BENSU/SILVA/FINMA/DTY/PEDIG/POL
62,M733,SUBIP/BANVA/UNDUG/MAY
63,M868,TNT/TIPIL/EVSON/ADELU
64,M981,GODOS/ROXAT/NATEB
65,M982,TOPPA/ROKAN/ERLOT/ROBEM
66,N6,PILIP/TIGGY/TELTU
67,N12,DOLUR/MABUG/IDOKI/TESDO/LULOX
68,N14,NIBDA/VOUGA/KENET/UGNUS/OKTAD/DOBEM/TOPRO/MEDOG/FOXLA/ABAPO/PEMOB/LANPI/BAKUR
69,N16,GIBSO/BEGTO/AVANT/GWC/OTSID/BIG/BPK/BKY
70,N17,RIGDI/SIDDI/ORVUX/DAWLY/ELRIP/OTMET/SOKDU/NEDUL/TELTU
71,N18,LND/ELRAG/GISOK/OSGIL/PEMOB
72,N19,GAPLI/UNPUP/SOPTU/JOZMA/KOXOD/ADKIK/NULGU/SAM
73,N20,KUNAV/ELDAX/NOTGI/EVEXU
74,N21,GAPLI/MERLY
75,N24,PEMOB/SLANY
76,N26,MANIG/BHD/DEVOM/DAGKO/ZEDDO/STU
77,N28,GATRA/BANBA
78,N30,BANBA/PEMOB
79,N34,NEVRI/ABSUN/BELZU
80,N38,DOLUR/LESLU
81,N40,DOLUR/DOKEK/EVRIN
82,N42,RETSI/MONTY
83,N44,GIGUL/ODMOS/NOBDO/UPNAL
84,N57,DEVAL/SANDY/DET/LAM/WELIN/SAPCO/TNT/TIPIL/DENBY/POL/BAMEP/SETEL/OLPOP/IPNOX/DCS
85,N58,AMPOP/GATRA
86,N63,LELNA/OLGUD/SAM/VOUGA/IMVUR
87,N80,NAKID/ARKIL
88,N83,NAKID/LEDGO
89,N84,NAKID/LULOX
90,N90,SKESO/NOTRO/EXJET/LAMAT
91,N91,NEZZA/PERUP/FIGZI
92,N92,EXMOR/ITJON/OKTAD/DUCNO/LUXTO/UMLUX
93,N93,LUXTO/PEPUL/ADMEX
94,N96,ROKAN/EVTAR
95,N97,ROKAN/NATEB/TLA
96,N110,DOLAS/ABTOS/ODNEK/USEKA/ERKIT/BAVDO/UNTAL/AGPED/INVON
97,N160,LIZAD/NAKID/LND/INSUN/BOGMI/LEDGO
98,N513,ELRIP/FONZU/DIDEL
99,N514,LESLU/PAVLO/ODADA/DIDEL/BAZJO/ADKIK/OSNUG/EXARO/EVTES/GASGU
100,N546,SALCO/ERFAX/NEXXU/STU/BAKUR
101,N552,RUBEX/MAC
102,N562,TRN/HERON/MAC/AMCON/DONIB/MIMKU
103,N601,DET/BAKER/BPK/POTON/BEDFO/EBOTO/PIPIN/LESTA/EMBOR/XAPOS/BOLBI/ULSAX/POL/NELSA/RIBEL/ERGAB/SHAPP/ABEVI/INPIP/UTOGU/INREV/ESKDO/IPDOR/TLA/GRICE
104,N610,LONAM/NATEB/VEREX
105,N621,LELNA/MARUK/KAPEX/SAM/EVTES/GOGSI
106,N859,SITET/DRAKE/INKEK/EVEXU/GWC/VAPID/CPT/DIGUT/KIDLI/HON/UTUXA/SANBA
107,N862,SKESO/SKERY/BHD/KOXOD/IPZOL/LAMAT/ITJON/ERNOK/PERUP/DOBEM/RILES/AMRAL/RETSI/NENVO/ROBVA/KARNO/RISLA/NOKIN/WAL
108,N866,LORKU/RUBMI/ROKSI/BILNI/SAM/GASGU/DIGSU/BANEM/LEDBO/BUKUT/KUBAX/TOLSA/AKOKO/BINBO/LARDI/TIPAN
109,N867,GARMI/VASUX/AVANT
110,P1,GODOS/BINBO/ROKAN/TINDI/ROLUM/GIGUL/RODSI
111,P2,NIGIT/BEDEK/HOFIK/OKESI/NUMPO/STU/BANBA
112,P4,EVRIN/DIKAS/OKTAD
113,P5,DIGSU/UMBAG/ELNAB/GOTGO
114,P6,LESTA/RODOL/NELBO/IPSET/BELZU
115,P7,LOGAN/IDESI/SONOG/BARMI/BUKUT
116,P13,ROLUM/ASKAM
117,P15,NATEB/DIGBI/ERLOT/GIVEM
118,P16,NOKIN/ASMIM/CROFT/RIBEL/GASKO
119,P17,NITON/NOKIN/KUXEM/BARTN/POL/IPSIR/OBOXA
120,P25,LAPRA/MIPVO/DITOB/MEGEL/BARMI
121,P44,BRAIN/DAGGA/CLN/RATLO/PIXAM/SOMVA
122,P49,XAMAN/IDESI/LAPRA
123,P58,PELET/ODMOS/RODSI/GIVEM
124,P69,LULOX/UNPUP/DAWLY
125,P70,DAWLY/SOPTU/ARKIL
126,P71,DAWLY/LESLU
127,P72,DAWLY/ODADA/LEDGO
128,P73,DAWLY/MOPAT
129,P83,BOLRO/KATHY/ELDER/SAM
130,P86,MABUG/OSMAP/ORVUX/KOXOD
131,P87,BOLRO/ROXOG
132,P88,ODREP/GOKTU/VASUX
133,P137,REDFA/SIVDA
134,P144,MATCH/DIGSU/TUZLA/LATMU/LARGA
135,P155,SOMVA/ABEDA/BANEM/UMBAG/SIVDA/BANTO/EBOTO/UNGAP/HON/FACTU/MORAG
136,P166,DTY/WELIN/BANTO
137,P620,NIMAT/NUMPI/NELBO/BLACA
138,Q3,LAM/OCK/HEMEL/MOGLI
139,Q4,EMBOR/TNT/LISTO/VABKA/WAL/NOMSU/GIGTO
140,Q36,NUGRA/EPOXI/NOSLO/ALAVA/ABGEP/RULAV/ENDEQ
141,Q37,MALUD/DONAX/BAVUD/BAKOX/BOFUM
142,Q38,NUGRA/VOLFI/MALUD/GIGTO/SOSIM/MAKUX/VAKPO/PEPOD
143,Q39,NOMSU/DANDI/INKOB/TIMIS/ETIGA/BABGU/RINGA
144,Q41,ORTAC/THRED/NEDUL/SAM/PEPIS/TABEN/NORRY/COWLY/SILVA
145,Q60,KOPUL/UGBET/KILFA/UGNUS/LANON/MORAG
146,Q63,SUMUM/BLIXY/ARREK/ERING/KOPUL/IDITU/IPKUS/CPT/KENET/MIMBI/SIREN/MALBY/WOTAN/BADIM/ALVIN/ERNOK/BCN/UGBUD/INRUB/AMMAN/FIFAH/STU/LANPI/TIBGA/VATRY
147,Q70,VABIK/MOKBU/ITVIP/DET/BIG/BENSU/COWLY
148,Q75,BUZAD/UTAVA/BKY
149,Q295,CPT/BPK/TOTRI/MATCH/BRAIN/PAAVO/SOMVA
150,T7,AMPOP/MABUG/LND/AMHAG/ASRAX/IDOVO/NITON/KARNO
151,T71,VAPID/TEVSI/COWLY
152,T256,DCS/RIPNO/OSMEG/ORVUL/ROVLA/NORBO
153,T418,UMLAT/WOBUN/WELIN
154,T420,ALESO/ROTNO/ETVAX/TIGER/BIG/ULTIB/HEMEL/BUZAD/OLNEY/WELIN/AKUPA/TIMPO/ELVOS/TNT
155,T421,KUNAV/NIVKO/BISRU/BIG
156,UL8,STAFA/NANTI/UMKIL/VABKA/ASNIP/TADAL/BILVO
157,UL9,KONAN/DVR/UMTUM/EMKAD/LAVRI/DIKVU/BIG/GOXUL/LINDY/NORRY/CPT/KENET/GAVGO/DEZZU/DIKAS/LUFTU/STU/SLANY
158,UL28,TNT/RODOL/MCT/ASNIP/AGLIL/PENIL/DANDI/LELDO/SOSIM
159,UL70,DESIG/KOLID/TADAL/GUNTU/PENIL/BABRA/GIGTO/UNDUX/SOPAX/RAMOX/OGTUG/BAGSO
160,UL612,XAMAB/HAWKE/BENBO/BOGNA/MID/WOD/COWLY/EMKUK/IXURA/HON/LISTO/LOVEL/BARTN/CROFT/CALDA/OBUNI/VAMEB/LAKEY/DCS/BEBNI/NAVSO/ELBUS
161,UL975,LIFFY/IDEXA/GINIS/NATKO/LYNAS/ROLEX/MALUD/WAL/ASMIM/BARTN/SONEX/DENBY/DESIG/UNIGO/UPTON/ARPUB/GOLES/LIBSO/ROVNI/ODMOS/ROPAL
162,UM8,SUBIP/ELDAX/WAFFU
163,UM30,SALCO/NOTRO
164,UM65,RODOL/TENSO
165,UM82,TIPTA/ROBEM
166,UM184,KOTEM/PILIP/NELKO/AVANT/HEMEL
167,UM185,LUGIS/ADLOG/DESNA/TELTU/MID/MODMI/OCK/KOBBI/BPK/DIGSU/ADGEG/TIPAN
168,UM189,DRAKE/HAWKE/WAFFU/LYD
169,UM605,XIDIL/HARDY/WAFFU/SFD/WOD/BENSU/SILVA/FINMA/DTY
170,UM733,SUBIP/BANVA/UNDUG/MAY
171,UM868,TNT/TIPIL/EVSON/ADELU
172,UN6,PILIP/TIGGY/TELTU
173,UN22,SALCO/BABAX
174,UN32,ANNET/NOTRO
175,UN34,TALIG/MABUG/INSUN/GATRA/EVRIN
176,UN57,SANDY/LAM/WELIN/SAPCO/TNT/POL/BAMEP/SETEL/OLPOP/IPNOX/DCS/EMGAT
177,UN590,HALIF/APPLE/ABEVI/LORTA
178,UN601,SANDY/DET/BPK/POTON/BEDFO/EBOTO/PIPIN/LESTA/EMBOR/XAPOS/BOLBI/ULSAX/POL/NELSA/RIBEL/ERGAB/SHAPP/ABEVI/INPIP/UTOGU/INREV/ESKDO/IPDOR/TLA
179,UN859,SITET/GWC/VAPID/CPT/DIGUT/KIDLI/HON/UTUXA/SANBA
180,UN864,SALCO/BHD/DAWLY/TINAN/TIVER/ATWEL/MULIT/EXMOR/NEZZA/NUMPO/BCN/DIKAS/NAVOV/GOGIG/TOPRO/TALGA/UMOLO/NITON/OKTEM/NILGI/MONTY/GODPA/REXAM/IVLOD/WAL/GUNTU/BILVO/SUBUK/DCS/ASRUS/UNURO/TLA
181,UN867,GARMI/VASUX/AVANT
182,UP6,MOGLI/LESTA/TUMTI/RODOL/KOLID/BILVO/TUPEM
183,UP16,ANNET/BABAX/DEVOM/KESUP/UNBIG/IDOVO/BERUL/MONTY/NOKIN/ASMIM/CROFT/RIBEL/BEGAM/BINTI/RAPUM/NATEB/ROBEM
184,UP17,NITON/ANJAK/NOKIN/KUXEM/BARTN/POL/IPSIR/OBOXA/ARSAT/TIPTA/DIGBI
185,UP18,POL/IDKOL/ABKAT/GASKO/UVAVU/TILNI/GIRLI/UNTAL/NATEB/ELMUD/ALASO
186,UP59,ASKAM/NOBDO/OTLAB
187,UP83,BOLRO/KATHY/ELDER/SAM
188,UP87,BOLRO/ROXOG
189,UP88,ODREP/GOKTU/VASUX
190,UP620,TALIG/OSMAP/LND/PAVLO/DOKEK/BANBA
191,UQ4,TNT/LISTO/VABKA/WAL/NOMSU/GIGTO
192,UT29,LAMIX/VEGUS/LIBSO
193,UT71,VAPID/TEVSI/COWLY
194,UT256,DCS/RIPNO/OSMEG/ROVLA
195,UY47,DRAKE/BENBO/SFD
196,UY53,NUGRA/NANTI/MOGTA/EKLAD/WAL
197,UY124,LISTO/MOGTA/AMPIT/DOLOP/BAGIT/LUTIP/LOMVO/DEXEN
198,UY250,DTY/AKUPA/LESTA/MAMUL/UPTON/BATLI/RIMTO/OBOXA/GASKO
199,Y4,TEBRA/PIBUX/ARREK/ODROB/SONOG
200,Y6,SUMUM/TOSVA/IDESI/BANEM
201,Y8,GAPLI/TESDO/RIGDI/GITUS/GAKKA/BUMUX/ADCUB/SAM/GWC/WAFFU/BANVA/KUNAV
202,Y47,DRAKE/BENBO/SFD/MAY
203,Y53,SAPCO/PEDIG/NUGRA/NANTI/MOGTA/EKLAD/WAL
204,Y70,RAVLO/BODSO/SUPEL/ABTOS/OTBED/VEGUS/SIVBU/GIPLO/GOLES/BATLI/POL/CROFT/KOLID
205,Y96,NATEB/AGPED/OTBUN/IPSAD/HAVEN/TLA/NORBO
206,Y110,ORIST/VEXEN/THRED
207,Y124,LISTO/MOGTA/AMPIT/DOLOP/BAGIT/LUTIP/LOMVO/DEXEN
208,Y125,FITBO/RETSI/BERUL/SEMMU/LIPGO
209,Y250,DTY/AKUPA/LESTA/MAMUL/UPTON/BATLI/RIMTO/OBOXA/GASKO
210,Y311,DVR/ODVIK
211,Y312,DVR/MIMFO
212,Y321,EXARO/PEPIS/NUBRI/CPT/EMKUK/ADMEX
213,Y322,BUGUP/PEPUL
214,Y803,LYD/SFD/MID/MAXIT
215,Y911,BOYNE/NOCAD/IOM
216,Y958,BRUCE/TOBMO
217,Z171,LELNA/THRED/NEDUL/SAM
218,Z195,ALAVA/MALUD
219,Z196,GUNTU/DIGMA/LELDO
220,Z197,LISTO/EKLAD/VOLFI/NOSLO
221,Z198,ERDUV/MASOP
222,Z246,HERON/DAUNT
223,Z247,HERON/OKNOB
224,Z248,OSMEG/LUCCO
225,Z249,OSMEG/SUDBY
226,Z250,LUCCO/SUMIN/HAVEN
