,name,type,coords,freq
0,ABAPO,FIX,N52.06.10.43 W004.48.11.97,000.000
1,ABBOT,FIX,N52.00.58.00 E000.35.58.49,000.000
2,ABDAL,FIX,N51.26.46.16 W001.51.47.69,000.000
3,ABDUK,FIX,N51.38.33.92 W003.48.01.39,000.000
4,ABEDA,FIX,N52.19.39.63 E001.52.15.84,000.000
5,ABEVI,FIX,N54.42.27.00 W002.46.29.24,000.000
6,ABGEP,FIX,N53.25.39.32 W004.51.39.71,000.000
7,ABKAT,FIX,N54.08.53.12 W001.58.46.69,000.000
8,ABKIM,FIX,N50.50.43.00 W001.58.58.00,000.000
9,ABLIN,FIX,N52.46.57.86 W004.59.33.38,000.000
10,ABSAV,FIX,N50.38.28.94 W001.10.29.05,000.000
11,ABSUN,FIX,N54.17.32.20 W006.15.17.74,000.000
12,ABTOS,FIX,N53.14.44.92 E000.25.36.29,000.000
13,ABTUM,FIX,N51.26.03.66 E001.22.28.98,000.000
14,ADASI,FIX,N59.13.15.16 W006.17.31.47,000.000
15,ADCUB,FIX,N50.54.35.53 W002.00.00.00,000.000
16,ADELU,FIX,N53.26.30.48 W001.32.12.64,000.000
17,ADGEG,FIX,N53.13.43.00 E002.19.06.00,000.000
18,ADKIK,FIX,N50.47.48.52 W002.32.45.46,000.000
19,ADLOG,FIX,N50.19.25.00 W000.49.33.40,000.000
20,ADMEX,FIX,N52.21.39.20 W001.27.44.81,000.000
21,ADMIS,FIX,N51.59.48.54 E000.10.35.56,000.000
22,ADNAM,FIX,N52.06.16.98 E000.44.18.84,000.000
23,ADODO,FIX,N58.30.00.00 W010.00.00.00,000.000
24,ADRUD,FIX,N49.10.14.00 W006.26.55.00,000.000
25,ADVAS,FIX,N51.40.53.03 E001.26.33.13,000.000
26,ADVAT,FIX,N45.00.00.00 W009.28.11.19,000.000
27,AGLIL,FIX,N53.34.41.99 W003.27.11.30,000.000
28,AGORI,FIX,N57.00.00.00 W013.00.00.00,000.000
29,AGPED,FIX,N55.07.18.90 W001.56.57.15,000.000
30,AKIVO,FIX,N59.57.51.58 W009.30.00.00,000.000
31,AKOKO,FIX,N53.14.16.24 E003.12.07.03,000.000
32,AKUPA,FIX,N52.29.11.57 W001.05.28.03,000.000
33,ALASO,FIX,N55.26.50.23 W001.33.53.69,000.000
34,ALAVA,FIX,N53.23.42.60 W003.58.17.31,000.000
35,ALESO,FIX,N50.34.32.24 E001.13.31.50,000.000
36,ALOTI,FIX,N57.54.27.01 E003.36.30.27,000.000
37,ALUTA,FIX,N49.00.18.65 W007.29.53.23,000.000
38,ALVIN,FIX,N51.39.44.83 W002.40.42.00,000.000
39,AMCON,FIX,N55.34.31.14 W006.38.37.46,000.000
40,AMDUT,FIX,N50.40.27.90 E000.47.46.38,000.000
41,AMHAG,FIX,N51.30.00.07 W004.18.01.10,000.000
42,AMLAD,FIX,N56.15.52.37 W010.00.00.00,000.000
43,AMLET,FIX,N53.16.06.52 W001.50.17.59,000.000
44,AMMAN,FIX,N51.50.25.95 W003.59.54.00,000.000
45,AMPIT,FIX,N53.11.39.41 W003.11.32.59,000.000
46,AMPOP,FIX,N49.31.47.68 W006.09.02.85,000.000
47,AMRAL,FIX,N52.06.53.43 W002.54.32.53,000.000
48,AMTAP,FIX,N58.22.25.36 W009.30.00.00,000.000
49,AMTOD,FIX,N50.32.15.69 W001.25.44.46,000.000
50,AMVEL,FIX,N53.11.02.96 W000.01.55.16,000.000
51,ANJAK,FIX,N52.53.50.17 W002.59.33.44,000.000
52,ANNET,FIX,N49.39.05.11 W004.00.05.00,000.000
53,APPLE,FIX,N54.30.00.00 W002.30.50.23,000.000
54,APSOV,FIX,N55.49.22.84 W010.00.00.00,000.000
55,ARKIL,FIX,N50.39.28.00 W008.00.00.00,000.000
56,ARNUN,FIX,N51.03.25.98 E000.55.52.98,000.000
57,ARPUB,FIX,N53.35.34.00 W001.14.28.00,000.000
58,ARREK,FIX,N51.36.43.04 E001.50.07.27,000.000
59,ARSAT,FIX,N54.32.06.19 W001.44.18.63,000.000
60,ARTEX,FIX,N56.53.41.37 E003.57.38.47,000.000
61,ARTHA,FIX,N53.46.59.11 W002.17.07.39,000.000
62,ARTIX,FIX,N53.23.42.08 W001.02.08.72,000.000
63,ASKAM,FIX,N54.57.47.34 E003.13.49.91,000.000
64,ASLIB,FIX,N54.49.27.55 W003.03.39.35,000.000
65,ASMIM,FIX,N53.26.45.75 W002.39.10.71,000.000
66,ASNIP,FIX,N53.28.43.09 W002.54.25.97,000.000
67,ASNUD,FIX,N56.41.39.00 W003.03.20.35,000.000
68,ASRAX,FIX,N51.31.16.95 W004.16.43.03,000.000
69,ASRUS,FIX,N55.03.21.00 W003.20.45.00,000.000
70,ATNAK,FIX,N57.00.00.00 E005.00.00.00,000.000
71,ATSAP,FIX,N51.27.15.96 E001.30.16.98,000.000
72,ATSIX,FIX,N60.00.00.00 W010.00.00.00,000.000
73,ATSUR,FIX,N50.00.00.00 W014.00.00.00,000.000
74,ATWEL,FIX,N50.50.51.06 W003.25.01.82,000.000
75,AVANT,FIX,N50.49.12.00 W000.56.18.05,000.000
76,AVRAL,FIX,N55.30.34.00 E003.42.59.00,000.000
77,BABAX,FIX,N50.25.10.70 W003.48.16.70,000.000
78,BABGU,FIX,N54.16.39.33 W005.16.25.07,000.000
79,BABRA,FIX,N53.37.39.37 W003.56.42.63,000.000
80,BADGA,FIX,N55.37.49.24 E002.36.57.62,000.000
81,BADIM,FIX,N51.38.37.89 W002.30.40.43,000.000
82,BADSI,FIX,N52.39.30.00 W004.46.17.12,000.000
83,BAGIT,FIX,N53.13.44.63 W003.59.18.18,000.000
84,BAGSO,FIX,N53.40.47.96 W005.30.00.00,000.000
85,BAKER,FIX,N51.29.42.00 E000.17.53.19,000.000
86,BAKOX,FIX,N53.31.43.40 W005.09.33.03,000.000
87,BAKUR,FIX,N52.14.29.61 W005.40.48.81,000.000
88,BALID,FIX,N56.29.49.16 W001.57.06.88,000.000
89,BALIX,FIX,N59.00.00.00 W010.00.00.00,000.000
90,BAMEP,FIX,N53.52.42.00 W002.16.09.00,000.000
91,BAMLI,FIX,N54.08.28.00 W006.39.04.00,000.000
92,BAMRA,FIX,N59.26.00.28 W003.57.09.80,000.000
93,BANBA,FIX,N51.57.10.10 W006.14.20.59,000.000
94,BANEM,FIX,N52.20.08.11 E001.30.19.26,000.000
95,BANTO,FIX,N52.21.27.65 W000.13.57.38,000.000
96,BANVA,FIX,N50.32.42.00 E000.45.12.00,000.000
97,BARKU,FIX,N60.36.17.61 W009.24.36.37,000.000
98,BARMI,FIX,N52.28.41.76 E002.34.13.73,000.000
99,BAROS,FIX,N53.24.22.39 W003.26.43.38,000.000
100,BARTN,FIX,N53.28.14.17 W002.25.41.11,000.000
101,BATLI,FIX,N53.38.45.07 W001.21.36.90,000.000
102,BAVDO,FIX,N54.18.19.73 W001.09.25.35,000.000
103,BAVUD,FIX,N53.31.08.30 W004.51.09.14,000.000
104,BAZJO,FIX,N50.50.25.02 W003.53.44.63,000.000
105,BEBNI,FIX,N54.59.05.82 W003.35.14.22,000.000
106,BEDEK,FIX,N51.22.14.61 W001.33.31.13,000.000
107,BEDFO,FIX,N52.13.30.00 W000.33.47.81,000.000
108,BEDRA,FIX,N49.00.00.00 W015.00.00.00,000.000
109,BEGAM,FIX,N54.09.24.84 W002.07.15.43,000.000
110,BEGAS,FIX,N45.00.00.00 W009.00.00.00,000.000
111,BEGID,FIX,N56.30.00.00 W014.00.00.00,000.000
112,BEGTO,FIX,N50.45.45.12 W001.14.07.99,000.000
113,BEKET,FIX,N58.53.13.00 W001.31.20.14,000.000
114,BEKMO,FIX,N52.59.10.21 E002.37.10.22,000.000
115,BELOX,FIX,N53.53.16.37 W003.29.23.15,000.000
